lat	long	Carb30	Carb1m	Clay30	Sand30	Silt30	Bulkd30	Clay1m	Sand1m	Silt1m	Bulkd1m
51.5	0.167	8.9015	13.3722	28.7973	43.0045	27.0586	1.1461	28.7973	43.0045	27.0586	1.3062
51.5	0.333	7.9756	12.1916	40.9604	26.5495	31.0545	1.187	40.9604	26.5495	31.0545	1.3141
51.5	0.5	9.5182	14.6496	50.8841	11.1787	36.2029	1.1023	50.8841	11.1787	36.2029	1.2644
51.5	0.667	8.9776	13.9407	38.7164	8.7846	36.694	1.1247	38.7164	8.7846	36.694	1.2883
51.5	0.833	8.7139	14.0225	31.1622	12.0946	38.7297	1.1426	31.1622	12.0946	38.7297	1.2888
51.5	0	8.4267	13.1902	37.8173	30.665	30.335	1.1216	37.8173	30.665	30.335	1.2995
51.666	-5	7.5806	12.7669	20.7747	34.7632	41.3368	1.1433	20.2421	35.7368	41.9842	1.2261
51.666	-4.333	6.5876	11.1214	20.7143	53.0734	27.2772	1.1562	15.2673	51.7339	28.2788	1.2363
51.666	-4.167	11.0703	16.8549	23.1871	32.9767	41.3023	1.0701	23.0581	32.8953	41.314	1.2943
51.666	-4	11.4224	16.7929	19.6061	42.8939	35.3232	1.0476	19.6061	42.8939	35.3232	1.2796
51.666	-3.833	12.2848	19.6488	18.9645	46.3627	32.5098	0.9821	18.5735	47.0049	32.9755	1.2011
51.666	-3.667	15.9451	25.0221	17.375	48.3981	33.2685	0.7039	17.375	48.3981	33.2685	1.0692
51.666	-3.5	16.159	25.926	18.0755	45.6792	35.3491	0.8042	18.0755	45.6792	35.3491	1.1007
51.666	-3.333	13.7021	19.2561	17.2315	49.4433	32.5074	0.8915	17.2315	49.4433	32.5074	1.1765
51.666	-3.167	9.9848	13.8468	16.4035	53.557	29.1272	0.9868	16.4035	53.557	29.1272	1.2306
51.666	-3	9.3902	14.5025	21.9234	34.7129	42.0096	1.0698	21.9234	34.7129	42.0096	1.2457
51.666	-2.833	9.0729	13.9415	21.0044	37.1447	40.7149	1.0796	21.0044	37.1447	40.7149	1.2453
51.666	-2.667	9.1492	13.2396	23.9497	35.7135	38.5475	1.0031	23.9497	35.7135	38.5475	1.2054
51.666	-2.5	9.2557	15.04	36.3155	17.9223	43.7087	1.0949	36.3155	17.9223	43.7087	1.2693
51.666	-2.333	9.8352	14.5558	35.4899	20.5101	42.6717	1.0521	35.4899	20.5101	42.6717	1.2217
51.666	-2.167	10.863	15.0433	37.4213	24.0556	37.3056	1.0476	37.4213	24.0556	37.3056	1.131
51.666	-2	10.3079	15.0584	38.8535	25.399	34.3232	1.0469	38.8535	25.399	34.3232	1.1316
51.666	-1.833	9.7062	15.0722	41.2778	24.4722	32.9537	1.1192	41.2778	24.4722	32.9537	1.1885
51.666	-1.667	8.6475	13.4524	36.736	30.6548	31.1574	1.1665	36.736	30.6548	31.1574	1.2745
51.666	-1.5	8.5216	13.509	36.088	31.2037	31.4213	1.1761	36.088	31.2037	31.4213	1.2973
51.666	-1.333	8.8336	13.5042	34.0628	32.1208	32.4831	1.1485	34.0628	32.1208	32.4831	1.2873
51.666	-1.167	8.4767	13.1805	32.1161	35.8884	30.1473	1.1844	32.1161	35.8884	30.1473	1.3084
51.666	-1	8.7793	13.03	34.6393	18.6941	38.7991	1.112	34.6393	18.6941	38.7991	1.2282
51.666	-0.833	8.9417	12.3803	31.5688	20.3624	43.0826	1.0591	31.5688	20.3624	43.0826	1.1831
51.666	-0.667	8.2437	12.28	35.7962	22.9431	39.8483	1.1139	35.7962	22.9431	39.8483	1.2659
51.666	-0.5	7.8454	12.3945	37.549	27.4902	33.6618	1.1525	37.549	27.4902	33.6618	1.2974
51.666	-0.333	8.1612	12.6781	44.0495	22.6577	28.5225	1.1617	44.0495	22.6577	28.5225	1.3297
51.666	-0.167	8.6811	13.5538	54.4159	12.0421	30.3738	1.1332	54.4159	12.0421	30.3738	1.3292
51.666	0.167	8.1183	12.8025	51.9952	13.5411	31.8068	1.1866	51.9952	13.5411	31.8068	1.3475
51.666	0.333	8.1207	12.9958	48.7991	15.2768	32.7411	1.194	48.7991	15.2768	32.7411	1.3587
51.666	0.5	8.0336	12.5999	52.6089	13.2475	31.8861	1.1726	52.6089	13.2475	31.8861	1.3338
51.666	0.667	8.1023	12.7165	52.1176	12.3927	30.8326	1.1762	52.1176	12.3927	30.8326	1.3225
51.666	0.833	8.2259	13.3043	43.7245	15.7092	36.0204	1.1851	43.7245	15.7092	36.0204	1.3071
51.666	0	9.0957	14.5531	46.5493	13.5587	29.6291	1.0991	46.5493	13.5587	29.6291	1.2983
51.833	-5.167	9.0987	13.9859	22.0163	36.2114	40.4553	1.1302	22.0163	36.2114	40.4553	1.2737
51.833	-5	11.9247	18.1904	20.8738	38.0467	39.5327	1.0448	20.8738	38.0467	39.5327	1.2028
51.833	-4.833	10.9054	16.7264	23.2243	32.4626	42.6682	1.0459	23.2243	32.4626	42.6682	1.1688
51.833	-4.667	11.4406	17.4859	23.1952	31.7905	43.4095	1.0289	23.1952	31.7905	43.4095	1.1163
51.833	-4.5	11.2434	17.1751	23.894	29.7281	44.023	1.0278	23.894	29.7281	44.023	1.122
51.833	-4.333	10.6553	16.6019	23.1422	30.0853	45.0758	1.0557	23.1422	30.0853	45.0758	1.1605
51.833	-4.167	12.0125	18.6867	23.217	30.2358	45.2925	1.0059	23.217	30.2358	45.2925	1.194
51.833	-4	11.6846	17.8342	22.7032	31.8493	44.2511	1.0558	22.7032	31.8493	44.2511	1.2475
51.833	-3.833	18.7947	28.4795	17.89	39.8182	41.2967	0.8861	17.89	39.8182	41.2967	1.1091
51.833	-3.667	21.3907	33.0129	18.5728	34.2767	45.8932	0.7518	18.5728	34.2767	45.8932	1.0942
51.833	-3.5	20.4175	33.1547	17.8682	34.6955	46.1636	0.7604	17.8682	34.6955	46.1636	1.0834
51.833	-3.333	17.8188	29.1785	16.5302	41.9628	40.3767	0.8361	16.5302	41.9628	40.3767	1.1038
51.833	-3.167	14.3276	21.707	14.8832	51.028	33.0421	0.9823	14.8832	51.028	33.0421	1.1901
51.833	-3	9.6748	13.7979	16.809	43.402	38.6683	1.1132	16.809	43.402	38.6683	1.2637
51.833	-2.833	7.1872	10.6512	22.9302	22.7209	53.1488	1.1764	22.9302	22.7209	53.1488	1.3164
51.833	-2.667	8.4075	11.6767	19.3333	38.8382	40.701	1.0789	19.3333	38.8382	40.701	1.2518
51.833	-2.5	8.7109	12.3963	23.7357	35.5286	39.6079	0.9969	23.7357	35.5286	39.6079	1.2661
51.833	-2.333	9.2563	16.1163	44.4183	14.1739	39.649	1.1235	44.4183	14.1739	39.649	1.2814
51.833	-2.167	10.1731	15.5761	41.1228	20.8509	36.886	1.0419	41.1228	20.8509	36.886	1.2009
51.833	-2	10.9278	15.327	37.2871	25.0144	36.1244	1.0021	37.2871	25.0144	36.1244	1.0696
51.833	-1.833	10.6698	15.1797	39.8509	23.3816	35.1272	1.0649	39.8509	23.3816	35.1272	1.0409
51.833	-1.667	9.5219	13.5285	37.9809	24.3732	36.1388	1.1151	37.9809	24.3732	36.1388	1.1998
51.833	-1.5	9.9011	13.9163	37.2412	25.4825	35.7632	1.078	37.2412	25.4825	35.7632	1.1734
51.833	-1.333	9.362	13.949	32.9706	32.3284	33.3775	1.1144	32.9706	32.3284	33.3775	1.2136
51.833	-1.167	9.3852	14.9092	41.4352	23.1806	33.9583	1.1126	41.4352	23.1806	33.9583	1.2592
51.833	-1	9.1748	15.7055	50.8535	13.0455	34.5707	1.1026	50.8535	13.0455	34.5707	1.26
51.833	-0.833	8.5255	14.2272	47	16.2773	35.3364	1.1479	47	16.2773	35.3364	1.2812
51.833	-0.667	8.7636	13.2729	40.1483	17.9139	38.0718	1.1213	40.1483	17.9139	38.0718	1.2478
51.833	-0.5	7.4527	11.2867	34.6256	24.1718	36.8282	1.1972	34.6256	24.1718	36.8282	1.3
51.833	-0.333	7.0237	11.407	38.705	23.845	35.59	1.2292	38.705	23.845	35.59	1.3384
51.833	-0.167	8.0496	12.8575	34.3535	30.1023	32.5349	1.1881	34.3535	30.1023	32.5349	1.3495
51.833	0.167	8.4671	13.6177	39.7116	22.4465	36.6791	1.1948	39.7116	22.4465	36.6791	1.3467
51.833	0.333	8.5041	13.3499	37.4417	21.3786	39.0291	1.1999	37.4417	21.3786	39.0291	1.3536
51.833	0.5	7.825	12.3748	33.5249	28.7376	34.6063	1.234	33.5249	28.7376	34.6063	1.3753
51.833	0.667	7.4621	11.8581	40.0728	24.4515	33.2816	1.2338	40.0728	24.4515	33.2816	1.382
51.833	0.833	8.1223	12.6086	39.8779	27.8863	29.4366	1.2027	39.8779	27.8863	29.4366	1.3497
