L8_ID	X	Y
544	-96.608886	79.354129
545	-60.891061	79.354124
547	24.086902	79.290212
549	52.487787	79.240762
552	-29.98781	79.240751
555	-108.142987	79.222919
556	-49.356972	79.222913
557	-115.708817	79.197136
560	-41.791142	79.197128
561	99.096684	79.109643
562	103.403315	79.109643
563	-80.903292	79.109632
564	-76.596659	79.109632
566	11.249976	79.185133
567	94.817434	79.044905
568	107.682565	79.044905
569	-85.182532	79.044896
570	-72.317417	79.044897
573	-100.646529	79.064779
574	-56.853428	79.064774
577	19.591591	79.053126
582	-34.400523	78.990945
583	90.618375	78.916701
585	-89.38159	78.916692
586	-68.118358	78.916688
590	-14.026679	78.864967
594	-18.544675	78.848595
596	32.017342	78.813534
602	-23.017831	78.764937
605	-111.69745	78.789081
606	-45.802504	78.789079
609	-93.453199	78.727447
610	-64.046757	78.727444
613	-104.442758	78.722218
614	-53.057197	78.722215
617	15.30282	78.75264
620	27.569666	78.694956
626	-38.59293	78.680627
630	-27.395739	78.615687
631	-97.358305	78.480556
634	-60.141656	78.480553
636	23.232218	78.511051
641	-31.634375	78.403566
642	101.25	78.344963
643	-78.749975	78.344953
644	97.228779	78.314193
645	105.27122	78.314193
646	-82.771191	78.314183
647	-74.728759	78.314183
650	-107.983531	78.331719
651	-49.516424	78.331714
653	11.249981	78.389463
654	-114.958289	78.314785
657	-42.541676	78.31478
658	93.253496	78.222441
659	109.246503	78.222441
660	-86.746474	78.222433
661	-70.753482	78.222433
664	19.046407	78.264616
666	-101.067509	78.180129
669	-56.432452	78.180123
673	-16.690729	78.143291
677	-12.437756	78.134654
681	-35.698336	78.132108
682	89.367171	78.071339
684	-90.632797	78.071331
685	-66.867155	78.071324
689	-20.922769	78.088285
691	30.708449	78.062306
697	-25.090569	77.970699
699	26.546004	77.927142
704	15.044538	77.959195
708	-94.392526	77.863457
709	-63.10743	77.863453
710	68.734945	77.898582
712	-111.265013	77.898579
713	-46.234949	77.898574
716	-104.5613	77.830729
717	-52.938656	77.830727
721	-29.154749	77.792517
722	-117.938119	77.805425
725	-39.561848	77.805418
728	22.489477	77.730993
729	82.004877	77.602175
731	-97.99509	77.60217
