Lat	Long	Id	Country_Avg	Country_Cnt	Bulkd30_Avg	Bulkd1m_Avg	Car30c_Avg	Car1m_Avg	Clay30_Avg	Sand30_Avg	Silt30_Avg	Clay1m_Avg	Sand1m_Avg	Silt1m_Avg
51.083	-0.917	95	2	154	0.3961	0.7439	39.4572	26.83	8.5737	61.0058	30.4265	8.5737	61.0058	30.4265
51.083	-0.75	96	2	156	0.548	0.903	33.1965	21.3034	10.1562	48.4967	27.326	10.1562	48.4967	27.326
51.083	-0.583	97	2	148	0.7497	0.956	27.1059	20.0818	10.2955	62.1983	25.9046	10.2955	62.1983	25.9046
51.083	-0.417	98	2	175	0.6176	0.9182	28.2573	19.1851	6.0564	73.0334	20.966	6.0564	73.0334	20.966
51.083	-0.25	99	2	182	0.6313	0.9974	27.3148	16.2476	5.8998	72.9645	21.1521	5.8998	72.9645	21.1521
51.083	-0.083	100	2	187	0.6696	1.0306	25.9555	14.7266	5.6845	72.1164	22.1822	5.6845	72.1164	22.1822
51.083	0.083	101	2	183	0.7138	1.0617	24.2738	13.6179	5.6214	72.2123	22.1016	5.6214	72.2123	22.1016
51.083	0.25	102	2	183	0.4348	0.8406	36.7587	22.57	6.2697	73.3921	20.3684	6.2697	73.3921	20.3684
51.083	0.417	103	2	183	0.3974	0.7307	38.4855	27.0881	6.1414	73.4388	20.45	6.1414	73.4388	20.45
51.083	0.583	104	2	178	0.4848	0.923	34.3143	19.5131	6.848	68.9193	20.9846	6.848	68.9193	20.9846
51.083	0.75	105	2	183	0.5881	0.9367	29.5878	19.478	6.4144	69.6781	20.4094	6.4144	69.6781	20.4094
51.083	0.917	106	2	140	0.4031	0.531	38.9208	36.674	5.0319	74.3222	20.5217	5.0319	74.3222	20.5217
51.083	1.083	107	2	153	0.4147	0.6249	38.1296	32.8358	5.8231	66.5323	20.9226	5.8231	66.5323	20.9226
51.083	1.25	108	2	190	0.541	0.8736	33.0886	22.1047	5.6296	67.4215	19.3675	5.6296	67.4215	19.3675
51.25	-3.083	109	2	188	0.6955	1.1225	24.8538	12.0763	5.1785	80.7121	14.9049	5.1785	80.7121	14.9049
51.25	-2.75	110	2	179	0.5246	0.8497	32.9737	22.939	5.4865	74.2158	18.0538	5.4865	74.2158	18.0538
51.25	-2.583	111	2	177	0.5416	0.8119	33.0378	24.8734	7.4412	64.1018	27.7273	7.4412	64.1018	27.7273
51.25	-2.417	112	2	189	0.5062	0.8387	34.2723	23.7605	9.3631	55.8999	30.873	9.3631	55.8999	30.873
51.25	-2.25	113	2	180	0.7843	1.0261	24.0302	16.6238	8.9982	63.7595	27.2687	8.9982	63.7595	27.2687
51.25	-2.083	114	2	190	1.0037	1.2582	16.6158	8.2938	12.2028	59.9005	27.9888	12.2028	59.9005	27.9888
51.25	-1.917	115	2	181	1.0511	1.3304	14.3925	5.4705	13.5182	57.4592	28.9096	13.5182	57.4592	28.9096
51.25	-1.75	116	2	180	0.9889	1.32	15.8345	5.9576	10.7145	57.6392	23.2411	10.7145	57.6392	23.2411
51.25	-1.583	117	2	180	1.1199	1.3516	10.6484	4.9594	8.9758	70.6183	20.0745	8.9758	70.6183	20.0745
51.25	-1.417	118	2	180	1.2165	1.3991	7.7945	3.3542	10.5895	67.1775	21.6656	10.5895	67.1775	21.6656
51.25	-1.25	119	2	154	1.1672	1.3715	7.6282	3.9012	12.3943	66.7712	20.8984	12.3943	66.7712	20.8984
51.25	-1.083	120	2	101	0.6289	0.827	29.1539	22.8962	6.486	67.3081	26.2096	6.486	67.3081	26.2096
51.25	-0.917	121	2	116	0.5026	0.8882	32.3914	20.0918	6.9717	71.8635	21.2164	6.9717	71.8635	21.2164
51.25	-0.75	122	2	171	0.6731	1.0869	25.2979	12.5375	5.8988	72.8355	21.2937	5.8988	72.8355	21.2937
51.25	-0.583	123	2	185	0.6429	1.0746	26.2422	12.7336	5.7388	72.3702	21.891	5.7388	72.3702	21.891
51.25	-0.417	124	2	182	0.5846	0.9402	29.718	18.2581	5.9027	72.164	21.8091	5.9027	72.164	21.8091
51.25	-0.25	125	2	188	0.4335	0.81	36.9761	23.814	6.1204	71.7202	21.0622	6.1204	71.7202	21.0622
51.25	-0.083	126	2	186	0.5338	0.8914	32.8707	20.9176	6.4788	71.6542	21.8558	6.4788	71.6542	21.8558
51.25	0.083	127	2	184	0.562	0.8758	31.4977	21.7424	7.6305	69.8995	22.3978	7.6305	69.8995	22.3978
51.25	0.25	128	2	189	0.5306	0.8125	32.9765	24.2864	6.0484	69.6681	20.9461	6.0484	69.6681	20.9461
51.25	0.417	129	2	163	0.4916	0.7629	34.5255	26.7879	4.9968	74.8692	20.2031	4.9968	74.8692	20.2031
51.25	0.583	130	2	173	0.439	0.7575	36.0092	26.3179	5.9372	71.4755	21.0702	5.9372	71.4755	21.0702
51.25	0.75	131	2	190	0.5701	0.8756	30.9055	21.6788	6.0949	74.5308	19.4737	6.0949	74.5308	19.4737
51.25	0.917	132	2	182	0.6538	1.0082	27.5217	16.5215	5.3791	76.5116	18.2817	5.3791	76.5116	18.2817
51.25	1.083	133	2	183	0.7038	1.0217	22.4501	15.0718	3.6922	79.1656	16.5472	3.6922	79.1656	16.5472
51.25	1.417	134	2	193	0.775	1.1129	20.7146	11.5435	4.3731	74.7737	18.8998	4.3731	74.7737	18.8998
51.417	-3.583	135	2	190	0.8075	1.125	20.5585	11.314	5.2227	69.9239	21.8966	5.2227	69.9239	21.8966
51.417	-3.417	136	2	180	0.6036	0.9928	30.3833	17.7212	7.1787	49.3718	22.1816	7.1787	49.3718	22.1816
51.417	-3.25	137	2	178	0.8121	1.1888	21.8386	10.1398	9.2317	56.3884	25.1558	9.2317	56.3884	25.1558
51.417	-2.917	138	2	180	0.7977	1.2056	22.0418	9.4069	7.8794	54.296	20.6265	7.8794	54.296	20.6265
51.417	-2.75	139	2	183	0.799	1.2043	21.8477	9.5569	7.6039	51.9848	19.958	7.6039	51.9848	19.958
51.417	-2.583	140	2	190	0.9257	1.2571	17.291	7.7448	8.4689	60.8821	20.64	8.4689	60.8821	20.64
51.417	-2.417	141	2	190	0.8344	1.1967	20.8398	10.2361	7.8262	57.0508	19.3313	7.8262	57.0508	19.3313
51.417	-2.25	142	2	190	1.0621	1.3171	12.3328	6.0715	8.9095	68.8269	20.9923	8.9095	68.8269	20.9923
51.417	-2.083	143	2	94	1.1702	1.3845	7.5319	3.6115	8.8268	72.2551	18.6832	8.8268	72.2551	18.6832
51.417	-1.917	144	2	167	0.522	0.9397	31.5059	18.1058	6.332	72.6823	20.9933	6.332	72.6823	20.9933
51.417	-1.75	145	2	184	0.5775	1.0263	28.9605	14.6414	5.7931	72.7575	21.4548	5.7931	72.7575	21.4548
51.417	-1.583	146	2	185	0.6101	1.0219	28.2147	15.0408	5.7976	72.3746	21.8338	5.7976	72.3746	21.8338
51.417	-1.417	147	2	186	0.53	0.9045	32.2639	19.8658	6.0381	73.206	20.7906	6.0381	73.206	20.7906
51.417	-1.25	148	2	184	0.5275	0.8902	32.7045	20.6517	6.628	70.7441	21.0792	6.628	70.7441	21.0792
51.417	-1.083	149	2	184	0.5409	0.9388	31.849	18.8339	7.7603	67.6884	24.1273	7.7603	67.6884	24.1273
51.417	-0.917	150	2	191	0.4803	0.9151	33.5188	19.4166	8.4686	64.1849	23.496	8.4686	64.1849	23.496
51.417	-0.75	151	2	184	0.4867	0.8624	34.1484	21.9782	5.7786	68.5569	19.357	5.7786	68.5569	19.357
51.417	-0.583	152	2	190	0.4384	0.7918	36.2978	24.8266	5.9826	73.9515	19.977	5.9826	73.9515	19.977
51.417	-0.417	153	2	185	0.5326	0.8519	32.6355	22.5237	5.9528	70.1385	20.5468	5.9528	70.1385	20.5468
51.417	-0.25	154	2	174	0.5572	0.8266	31.8132	23.7645	5.9958	72.3961	21.5965	5.9958	72.3961	21.5965
51.417	-0.083	155	2	177	0.5098	0.7405	33.976	27.6231	5.2354	73.7812	20.4172	5.2354	73.7812	20.4172
51.417	0.083	156	2	186	0.6207	0.8748	29.8996	22.1944	5.6162	72.0069	22.0539	5.6162	72.0069	22.0539
51.417	0.25	157	2	178	0.4752	0.7434	35.4675	27.2139	6.2114	68.0041	25.1198	6.2114	68.0041	25.1198
51.417	0.417	158	2	180	0.5989	0.9035	29.7711	20.866	7.1172	63.6992	27.0987	7.1172	63.6992	27.0987
51.417	0.583	159	2	192	0.668	0.9137	27.5094	20.6438	6.2717	65.6093	24.3675	6.2717	65.6093	24.3675
51.417	0.75	160	2	176	0.4755	0.7077	35.8723	29.339	6.7795	62.1177	25.9664	6.7795	62.1177	25.9664
