LAT	       LONG	     CARB1M_AVG	CARB30_AVG	ORGC1M_AVG	ORGC30C_AV	CLAY30_AVG	SAND30_AVG	SILT30_AVG	BULKD30_AV	CLAY1M_AVG	SAND1M_AVG	SILT1M_AVG	BULKD1M_AV
57.083	-2.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-2.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-2.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-2.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-2.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-5.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-5.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-3.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-3.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-3.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-3.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-2.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-2.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-2.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-2.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.917	-2.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-5.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-3.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-3.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-3.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-3.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-2.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-2.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-2.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.750	-2.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-5.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-5.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-5.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
56.583	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
